timestamp,average_joules,summation_joules
1719025857,55.19708769424679,55.354289
1719025858,35.486450540481755,35.566437
1719025859,33.4064039850918,33.504552000000004
1719025860,32.55704270362922,32.6511
1719025861,33.937747213904906,34.037083
1719025862,32.970052883043124,33.067908
1719025863,38.86742887805715,38.968834
1719025864,31.384602268478126,31.474832999999997
1719025865,34.30633726982304,34.406649
1719025866,34.74418307835432,34.844698
1719025867,34.20667237671139,34.306248
1719025868,33.22444584043795,33.3198
1719025869,31.33454356174109,31.423564999999996
1719025870,32.35616140564311,32.447244
1719025871,32.688814103522894,32.782631
1719025872,33.456023671046644,33.547827
1719025873,33.99998903157808,34.097875
1719025874,32.779157223209914,32.874184
1719025875,32.97797023878371,33.074134
1719025876,32.23240771485008,32.325784999999996
1719025877,33.130817246330565,33.226234
1719025878,33.00558209104054,33.099648
1719025879,31.385380353709806,31.475017
1719025880,34.915067501473274,35.015169
1719025881,34.10031982591577,34.193516
1719025882,32.91991536240208,33.014198
1719025883,34.00512377639673,34.099522
1719025884,38.556627678659574,38.664085
1719025885,63.63609028705123,63.808735
1719025886,34.6120285994393,34.704685
1719025887,38.456463730079115,38.565757000000005
1719025888,34.06292166430809,34.155675
1719025889,31.934631235609743,32.025613
1719025890,32.93542406720772,33.025733
1719025891,31.689275311447652,31.778544
1719025892,33.98838177501269,34.084263
1719025893,38.06140847710806,38.169579
1719025894,32.85287386581546,32.945289
1719025895,33.98200302143424,34.078342
1719025896,33.857130456299714,33.932835
1719025897,34.08665397544658,34.181858
1719025898,32.90452024782633,32.99662
1719025899,31.737196586753676,31.826029
1719025900,32.82319184240021,32.916540999999995
1719025901,32.573090592167716,32.665077
1719025902,33.68594657282492,33.781042
1719025903,33.824271462260626,33.921178
1719025904,32.321620187724136,32.41044
1719025905,32.97550110026193,33.072548
1719025906,35.51778552868,35.620574000000005
1719025907,34.44463390070498,34.54349
1719025908,32.58739065572659,32.678505
1719025909,30.65243160305831,30.725507
1719025910,33.89458474106398,33.989354
1719025911,31.847870876381187,31.935771000000003
1719025912,32.20652939123498,32.298318
1719025913,33.43588378187562,33.529638
1719025914,42.176793569148515,42.294509000000005
1719025915,50.475133570104234,50.609246
1719025916,38.51476791145236,38.624534999999995
1719025917,40.08645836034056,40.199422
1719025918,32.926398085360994,33.018592
1719025919,31.537993781548465,31.626993999999996
1719025920,33.02517313761761,33.118139
1719025921,32.2887611856656,32.380655
1719025922,35.80861029314246,35.909698
1719025923,36.53177305883937,36.63461
1719025924,33.159660446708216,33.254066
1719025925,32.962591017057655,33.056007
1719025926,34.6377757479423,34.735385
1719025927,32.90623965376254,32.997719000000004
1719025928,33.879768462030384,33.959081
1719025929,31.30890631252576,31.374248
1719025930,33.95714790017531,34.05216
1719025931,33.69380670454035,33.776525
1719025932,33.262231831132276,33.354468000000004
1719025933,32.68601513655808,32.779824000000005
1719025934,33.5887277147407,33.684422
1719025935,32.142801583969636,32.232704999999996
1719025936,33.03691183143114,33.12925
1719025937,33.682880423130584,33.777563
1719025938,34.14776127886465,34.244297
1719025939,31.67761923280186,31.768534000000002
1719025940,34.06686171448629,34.163305
1719025941,33.03459457842438,33.128578000000005
1719025942,32.63948303973434,32.730384
1719025943,33.12263252523661,33.215674
1719025944,45.48770950277676,45.622808000000006
1719025945,49.01058633221237,49.143307
1719025946,34.53895927773269,34.637119
1719025947,40.052333796346616,40.166523
1719025948,32.95380767807872,33.047034000000004
1719025949,41.472493032392514,41.590897
1719025950,32.69584552124711,32.784157
1719025951,33.7632781640877,33.857579
1719025952,36.66446578811106,36.749784
1719025953,34.597025736706364,34.675388
1719025954,33.17572251683762,33.269079
1719025955,33.66239003444307,33.757115999999996
1719025956,35.82679732044744,35.929047
1719025957,33.963488669860354,34.058994
1719025959,31.366829881229,31.453716
1719025960,32.334264038355684,32.425576
1719025961,31.71245308380498,31.802896999999998
1719025962,32.08908325945546,32.178323
1719025963,32.88025332637959,32.972877
1719025964,34.47381841298735,34.54349
1719025965,31.60878743489745,31.698588
1719025966,34.64130456460002,34.739963
1719025967,34.0117093309666,34.106602
1719025968,33.84818711234319,33.943639
1719025969,32.8233598318349,32.916053
